sheet,slug,bank_class,period_bs,n_obs,min,max,rel_diff,files
C6,others,finance,Falgun 2080 (Mid-Mar 2023),4,0.28149245,363.96623141000003,1291.9875433959244,Falgun_2079_Publish-4=363.97; Falgun_2079_Publish-4=0.28; Chaitra_2079_Publish=363.97; Chaitra_2079_Publish=0.28
C6,others,commercial,Baisakh 2080 (Mid-May 2023),4,16.33089325999999,20854.702554084517,1276.009299005395,Baisakh_2080_Publish-1=20854.70; Baisakh_2080_Publish-1=16.33; Jestha_2080_Publish=20854.70; Jestha_2080_Publish=16.33
C5,profit-loss-a-c,system_total,Ashadh 2079 (Mid-July 2022),30,62.55881,79497.35563103374,1269.7619539283714,Shrawan_2079_PublishV1=79497.36; Shrawan_2079_PublishV1=62.56; Ashar2079_Publish=79497.36; Ashar2079_Publish=62.56; Bhadau_2081_Publish-1=79497.36; Bhadau_2081_Publish-1=62.56; Ashwin_2081_Publish-1=79497.36; Ashwin_2081_Publish-1=62.56; Kartik_2081_Publish=79497.36; Kartik_2081_Publish=62.56; Mangsir_2081_Publish-V2=79497.36; Mangsir_2081_Publish-V2=62.56; Poush_2081_Publish_2=79497.36; Poush_2081_Publish_2=62.56; Magh_2081_Publish-3=79497.36; Magh_2081_Publish-3=62.56; Falgun_2081_Publish=79497.36; Falgun_2081_Publish=62.56; Chaitra_2081_Publish=79497.36; Chaitra_2081_Publish=62.56; Saun-2082-Publish=79497.36; Saun-2082-Publish=62.56; Bhadau_2082_Publish=79497.36; Bhadau_2082_Publish=62.56; Baisakh_2082_Publish-1=79497.36; Baisakh_2082_Publish-1=62.56; Jestha_2082_Publish-3=79497.36; Jestha_2082_Publish-3=62.56; Asar_2082_Publish=79497.36; Asar_2082_Publish=62.56
C6,others,system_total,Poush 2080 (Mid-Jan 2023),4,11.177992967366741,13935.942450190158,1245.7302932534517,Poush2079_Publish-1=13935.94; Poush2079_Publish-1=11.18; Magh_2079_Publish-4=13935.94; Magh_2079_Publish-4=11.18
C6,others,system_total,Jestha 2080 (Mid-June 2023),4,20.649810579999993,24439.271512654443,1182.5106873243992,Jestha_2080_Publish=24439.27; Jestha_2080_Publish=20.65; Asar_2080_Publish=24439.27; Asar_2080_Publish=20.65
C5,profit-loss-a-c,system_total,Jestha 2078 (Mid-June 2021),2,60.83491222172715,69570.3965225731,1142.593275338467,Ashadh-2078-2=69570.40; Ashadh-2078-2=60.83
C6,others,finance,Magh 2080 (Mid-Feb 2023),4,0.28149245,318.12136810000004,1129.123980589888,Magh_2079_Publish-4=318.12; Magh_2079_Publish-4=0.28; Falgun_2079_Publish-4=318.12; Falgun_2079_Publish-4=0.28
C6,others,system_total,Kartik 2080 (Mid-Nov 2023),4,7.36360343,8036.502987441529,1090.381830083363,Kartik_2080_Publish=8036.50; Kartik_2080_Publish=7.36; Mangshir_2080_Publish=8036.50; Mangshir_2080_Publish=7.36
C6,others,system_total,Baisakh 2080 (Mid-May 2023),4,20.61238570999999,22276.166173204518,1079.7175106565833,Baisakh_2080_Publish-1=22276.17; Baisakh_2080_Publish-1=20.61; Jestha_2080_Publish=22276.17; Jestha_2080_Publish=20.61
C6,others,commercial,Kartik 2080 (Mid-Nov 2023),4,7.2169592300000005,7721.837014264177,1068.9571340469076,Kartik_2080_Publish=7721.84; Kartik_2080_Publish=7.22; Mangshir_2080_Publish=7721.84; Mangshir_2080_Publish=7.22
C5,profit-loss-a-c,system_total,Ashadh 2076 (Mid-July 2019),24,75.47262438,73518.78366913935,973.1119283063064,Bhadra_2078_V1.1=73518.78; Bhadra_2078_V1.1=75.47; Ashwin2078_NFRS_Publish=73518.78; Ashwin2078_NFRS_Publish=75.47; Kartik2078_NFRS_Publish-1=73518.78; Kartik2078_NFRS_Publish-1=75.47; Manghir-2078=73518.78; Manghir-2078=75.47; Poush-2078_Publish=73518.78; Poush-2078_Publish=75.47; Magh2078_NFRS_Publish-1=73518.78; Magh2078_NFRS_Publish-1=75.47; Falgun2078_NFRS_Publish=73518.78; Falgun2078_NFRS_Publish=75.47; Chaitra-2078=73518.78; Chaitra-2078=75.47; Shrawan_2079_PublishV1=73518.78; Shrawan_2079_PublishV1=75.47; Baishakh-2079=73518.78; Baishakh-2079=75.47; Jestha2079_PublishV1=73518.78; Jestha2079_PublishV1=75.47; Ashar2079_Publish=73518.78; Ashar2079_Publish=75.47
C6,others,finance,Mangsir 2079 (Mid-Dec 2022),4,0.28149245,240.61504822,853.7833102450883,Mangsir_2079_Publish_V1=240.62; Mangsir_2079_Publish_V1=0.28; Poush2079_Publish-1=240.62; Poush2079_Publish-1=0.28
C6,others,system_total,Ashwin 2080 (Mid-Oct 2023),4,7.36360343,6057.4267896837,821.6171937784135,Asoj_2080_publish=6057.43; Asoj_2080_publish=7.36; Kartik_2080_Publish=6057.43; Kartik_2080_Publish=7.36
C6,others,commercial,Ashwin 2080 (Mid-Oct 2023),4,7.2169592300000005,5824.634575983426,806.0759984026438,Asoj_2080_publish=5824.63; Asoj_2080_publish=7.22; Kartik_2080_Publish=5824.63; Kartik_2080_Publish=7.22
C5,profit-loss-a-c,development,Ashadh 2076 (Mid-July 2019),24,9.17040407,7258.4332824831,790.5063749729733,Bhadra_2078_V1.1=7258.43; Bhadra_2078_V1.1=9.17; Ashwin2078_NFRS_Publish=7258.43; Ashwin2078_NFRS_Publish=9.17; Kartik2078_NFRS_Publish-1=7258.43; Kartik2078_NFRS_Publish-1=9.17; Manghir-2078=7258.43; Manghir-2078=9.17; Poush-2078_Publish=7258.43; Poush-2078_Publish=9.17; Magh2078_NFRS_Publish-1=7258.43; Magh2078_NFRS_Publish-1=9.17; Falgun2078_NFRS_Publish=7258.43; Falgun2078_NFRS_Publish=9.17; Chaitra-2078=7258.43; Chaitra-2078=9.17; Shrawan_2079_PublishV1=7258.43; Shrawan_2079_PublishV1=9.17; Baishakh-2079=7258.43; Baishakh-2079=9.17; Jestha2079_PublishV1=7258.43; Jestha2079_PublishV1=9.17; Ashar2079_Publish=7258.43; Ashar2079_Publish=9.17
C5,profit-loss-a-c,system_total,Falgun 2079 (Mid-Mar 2022),4,66.92994239999993,51192.44190754668,763.8660684869607,Falgun2078_NFRS_Publish=51192.44; Falgun2078_NFRS_Publish=66.93; Chaitra-2078=51192.44; Chaitra-2078=66.93
C6,others,development,Ashadh 2076 (Mid-July 2019),24,0.30851950000000006,231.86886776,750.5533629478849,Bhadra_2078_V1.1=231.87; Bhadra_2078_V1.1=0.31; Ashwin2078_NFRS_Publish=231.87; Ashwin2078_NFRS_Publish=0.31; Kartik2078_NFRS_Publish-1=231.87; Kartik2078_NFRS_Publish-1=0.31; Manghir-2078=231.87; Manghir-2078=0.31; Poush-2078_Publish=231.87; Poush-2078_Publish=0.31; Magh2078_NFRS_Publish-1=231.87; Magh2078_NFRS_Publish-1=0.31; Falgun2078_NFRS_Publish=231.87; Falgun2078_NFRS_Publish=0.31; Chaitra-2078=231.87; Chaitra-2078=0.31; Shrawan_2079_PublishV1=231.87; Shrawan_2079_PublishV1=0.31; Baishakh-2079=231.87; Baishakh-2079=0.31; Jestha2079_PublishV1=231.87; Jestha2079_PublishV1=0.31; Ashar2079_Publish=231.87; Ashar2079_Publish=0.31
C6,others,finance,Kartik 2079 (Mid-Nov 2022),4,0.28149245,205.44690153000002,728.8487100808566,Kartik2079_publish=205.45; Kartik2079_publish=0.28; Mangsir_2079_Publish_V1=205.45; Mangsir_2079_Publish_V1=0.28
C5,profit-loss-a-c,commercial,Shrawan 2078 (Mid-Aug 2021),4,10.11,6311.1294353873745,623.2462349542409,Shrawan-2078-2=6311.13; Shrawan-2078-2=10.11; Bhadra_2078_V1.1=6311.13; Bhadra_2078_V1.1=10.11
C6,others,commercial,Bhadra 2080 (Mid-Sept 2023),4,6.93639934,4058.9004635893934,584.1595712177369,Bhadra_2080_Publish-2=4058.90; Bhadra_2080_Publish-2=6.94; Asoj_2080_publish=4058.90; Asoj_2080_publish=6.94
C6,others,system_total,Bhadra 2080 (Mid-Sept 2023),4,7.29693769,4213.36295406259,576.4152299308712,Bhadra_2080_Publish-2=4213.36; Bhadra_2080_Publish-2=7.30; Asoj_2080_publish=4213.36; Asoj_2080_publish=7.30
C6,others,system_total,Shrawan 2079 (Mid-Aug 2022),4,4.802501549999999,2745.1989727195346,570.6185500699182,Shrawan_2079_PublishV1=2745.20; Shrawan_2079_PublishV1=4.80; Bhadra_2079_Publish=2745.20; Bhadra_2079_Publish=4.80
